question_no,question,mean_score,response_count
1,The app was easy to use,5.87,23
2,It was easy for me to learn to use the app,6.0,23
3,I like the interface of the app,6.13,23
4,"The information in the app was well organized, so I could easily find the information I needed",6.04,23
5,I feel comfortable using this app in social settings,6.04,23
6,The amount of time involved in using this app has been fitting for me,5.78,23
7,I would use this app again,5.91,23
8,"Overall, I am satisfied with this app",5.78,23
9,"Overall, I am satisfied with this app",5.7,23
10,"Whenever I made a mistake using the app, I could recover easily and quickly",5.87,23
11,This mHealth app provided an acceptable way to receive health care services,5.3,23
12,The app adequately acknowledged and provided information to let me know the progress of my action,5.35,23
13,The navigation was consistent when moving between screens,5.96,23
14,"The interface of the app allowed me to use all the functions (such as entering information, responding to reminders, viewing information) offered by the app",5.96,23
15,This app has all the functions and capabilities I expect it to have,5.78,23
16,The app would be useful for my health and well-being,5.7,23
17,The app improved my access to health care services,5.83,23
18,The app helped me manage my health effectively,5.96,23
19,The app made it convenient for me to communicate with my health care provider,6.17,23
20,"Using the app, I had many more opportunities to interact with my health care provider",6.17,23
21,I felt confident that any information I sent to my provider using the app would be received,5.91,23
22,I felt comfortable communicating with my health care provider using the app,6.22,23
