feature,mean_abs_shap
VKORC1_A/A,4.292264230441074
VKORC1_G/G,3.2021729244740373
Weight_kg,3.052669811073814
Age_Decades,3.010577406367779
CYP2C9_*1/*1,1.855083798724948
Height_cm,1.0207166238870526
Amiodarone,0.5892771119591315
Race_Group_Asian,0.440029533929541
VKORC1_Unknown,0.3324245542255459
CYP2C9_*1/*3,0.30098174484901824
Enzyme_Inducer,0.21752668440283743
CYP2C9_*1/*2,0.1619818188830629
Race_Group_White,0.1600770461580251
CYP2C9_*2/*3,0.07292836601343007
Race_Group_Black,0.056372647646785436
VKORC1_A/G,0.04603884179862217
CYP2C9_Unknown,0.03195257410532793
CYP2C9_*2/*2,0.014128124070726313
Race_Group_Other/Unknown,0.004683296730695291
CYP2C9_*3/*3,0.0
