Feature,Gain
VKORC1_AA,0.24062881
VKORC1_GG,0.21491472
Smoker_Yes,0.045030247
Weight,0.041746333
VKORC1_GA,0.03365108
Smoker_No,0.032155827
Height,0.030285599
Gender_Female,0.029459652
Gender_Male,0.029119812
CYP2C9_*1/*13,0.02681917
Age,0.026216784
CYP2C9_*2/*2,0.023456628
CYP2C9_*1/*1,0.022261
Target_INR,0.02156751
Renal_Function,0.021140568
CYP2C9_*2/*3,0.018951323
Aspirin_No,0.017482933
CYP2C9_*3/*3,0.017346976
CYP2C9_*1/*6,0.017084839
Aspirin_Yes,0.016676836
Amiodarone_No,0.015837636
CYP2C9_*1/*3,0.014776359
CYP2C9_*1/*2,0.0142137995
Amiodarone_Yes,0.012765155
CYP2C9_*1/*11,0.008639194
CYP2C9_*1/*5,0.0063935644
CYP2C9_*1/*14,0.001377661
CYP4F2_CC,0.0
